"Private debt, loans and debt securities (Percent of GDP)",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cambodia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.369531452,3.3045896,3.489967161,4.719096047,6.243331562,5.581285672,5.691020554,6.310389663,5.754268223,6.005501745,6.655955306,8.073506803,7.892798702,10.38264533,15.36748541,19.76400956,20.19583785,22.12869899,22.39109871,30.02290977,39.43165677,46.36979437,54.54472289,60.73251666,64.6800675,73.12923305,83.7836271,103.1823941,121.3170953,132.3285483,126.9504879
Cameroon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.44399331,9.718527233,11.43743901,11.04340263,11.49003796,11.24270037,11.76180075,11.95268961,11.58612215,12.00545855,12.01959455,13.41219585,12.69290416,12.75207874,14.32978982,15.42794689,17.28520944,20.24996861,22.05621867,22.29125994,23.09417957,24.35479505,24.41997468,24.14941162,19.72393529,17.88508712,18.7754808,20.22260221,19.06909847,19.60074126,20.62007756,20.65237742,9.78767703,9.137537909,8.209461828,7.295199399,7.029809265,5.816847087,6.580176881,6.941863,7.439387169,7.750164248,7.975482742,8.126857252,7.73229362,8.339188175,8.062567354,8.238810084,9.178174724,9.547380562,10.67575936,12.18799782,12.27726299,12.83028579,13.62030071,14.06168482,14.24654339,13.8541897,14.50692822,13.92653619,no data,no data,no data,no data
Canada,no data,no data,no data,no data,66.95901839,75.05767173,75.49084205,72.96358538,72.28266632,79.08419856,77.85413916,78.57773353,79.60086035,77.87993604,79.61280249,85.57838504,80.97587441,85.87386757,89.84961248,86.62065536,86.58731064,90.27942884,93.63945295,95.67237094,96.61943009,99.3115417,100.7829691,106.2916646,110.5218719,114.680746,117.41423,119.9938647,116.6801054,109.2351109,106.0711796,107.8271773,111.763857,115.3067194,121.3211484,128.724841,134.815047,141.1407962,142.6777055,144.7562838,142.3365978,141.8831415,142.0446272,145.1171319,151.2999868,144.6027341,143.9415734,150.6019433,154.7567467,151.4229562,153.7438302,149.6816241,154.1556751,161.8501693,167.4391883,183.2357093,179.9795684,179.4012952,184.7948857,190.3204473,194.1441618,209.2962313,213.7663876,213.5932181,216.0508124,221.1650169,244.9869333,232.8516723,217.2218709,220.3968688
Central African Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,23.65100426,28.4113567,28.54866666,30.3417408,26.44411841,24.67164278,25.39468438,25.2191743,24.56934633,24.24059649,21.73710572,14.91159293,14.34627161,13.60666024,16.81708095,13.48885524,10.24360193,10.46538005,11.37291097,8.15865024,13.71543814,11.0241089,12.42346336,11.95516364,10.8125898,9.075516106,8.150485939,8.003213854,7.129050406,7.250123609,6.944514929,6.537815805,4.38778082,4.280751345,3.885661447,4.069851179,4.428040684,4.203202059,4.536585368,4.279343807,4.937241205,5.153382348,5.825310568,5.87810438,6.898582821,6.502999155,6.337000665,6.525427457,6.743536488,6.75374025,8.210695416,8.890883308,10.30423054,12.80154798,12.37310596,11.2936252,11.892561,10.78961277,11.7586431,11.13132697,11.10044181,11.16955568,12.3416935,no data
Chad,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.956047328,10.46578617,9.054682175,10.77820227,10.31994381,9.661708593,10.11671169,13.1175772,14.2564279,14.50631161,10.55507616,8.544287969,8.260521116,8.748639531,10.21665151,12.64513549,10.57473633,11.68747855,14.17200249,20.46455256,19.67339044,10.85981422,9.214017095,8.033057437,9.206123795,12.82168792,15.60126509,15.68532646,5.669260643,5.306405692,5.381461363,5.382130729,5.297470937,3.897917144,2.793883851,2.967118135,2.806840313,2.492296053,2.547766721,2.763396378,2.681143495,2.662076294,2.635437125,2.705242976,2.01924966,1.842699246,1.590235068,1.716623703,2.194613599,2.752089807,3.122000812,3.574195717,4.389731566,4.587318368,5.912666158,6.224260409,9.30640037,8.991769157,8.127984732,7.400961392,7.286680298,8.707954642,no data,no data
Chile,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,77.33070476,90.15343131,75.07954428,62.09661701,57.72066964,55.08716972,62.67241897,63.4185351,58.02655516,61.2715971,68.80081204,67.68149285,72.57707059,80.66515871,88.26285742,95.59279096,105.234973,109.3093834,112.3141037,113.0488921,100.7640951,93.630792,90.4491898,87.6705894,92.21187048,111.4816357,110.1012875,102.7270926,109.1766573,115.8301552,124.5234857,136.3137854,145.5237287,142.795891,137.544236,143.3748973,154.1939988,157.8560047,146.6662358,143.4467215,141.3187343
"China, People's Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,61.66831313,70.78967192,71.83797173,68.22019071,71.53355517,79.82101237,81.59572353,80.09783383,82.27624205,75.90533784,75.24582386,77.9377345,85.20392623,91.69891319,105.6527271,105.9416723,98.42328059,102.3660888,122.2850438,116.0519944,108.5316763,108.759953,105.7589071,105.8276947,127.7556607,138.4228283,136.6459014,146.6867902,155.1276736,167.5883426,179.9263542,187.1290229,187.9477649,185.5352763,186.3720197,198.6909437,192.8082861,198.5289976,205.0831492
Colombia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,47.4364354,54.05724449,54.24700764,53.78119863,47.13918502,46.2949524,48.47732174,44.2755049,40.74705194,39.64913599,41.74557828,43.44799874,43.59089694,45.21924721,48.8731485,50.29599756,50.65045348,54.60833156,60.5085083,67.97208112,64.12189196,62.2940438,61.97387494,60.64252888,69.92696886,64.21087962,60.79483199,57.98057951
Comoros,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.221330376,5.905306002,7.603834226,3.956386263,4.43315291,5.003976105,6.779865461,5.958421263,8.213744594,8.478286123,8.611329139,7.254659969,6.513848428,6.397719528,4.43616516,5.300133129,4.294326721,4.983629088,5.217296262,4.234147751,4.267513869,4.699534804,4.090535913,5.125261937,4.94674535,5.311862572,6.018940862,7.187383385,8.448136308,9.126487823,10.60985337,11.38221472,12.32553946,14.37438451,14.93197812,15.39736805,14.95008215,14.55687527,14.06629828,15.21581048,15.84090271,17.01766223
"Congo, Dem. Rep. of the",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.651458974,0.938257939,0.740172839,0.719335103,0.74228781,0.529883748,0.60263563,0.787201166,0.920867643,1.262181661,1.518559426,1.971783722,2.067957377,1.395845401,1.190438164,1.04423269,0.715012638,0.617053076,0.520320846,0.515031287,0.448757771,0.37699053,0.370227132,0.48129686,0.64647224,0.552816382,0.447026436,0.41017677,0.165400377,0.186518712,0.221884956,0.245189486,0.214900974,no data,no data,no data,no data,0.151176457,0.465075678,0.399079978,0.710265688,1.012688999,1.107484713,1.681619514,2.074166826,3.77604123,4.799165446,3.470274773,3.795100025,4.520475053,4.776121601,5.230091617,5.805125352,6.970424798,5.117411845,5.59861513,5.960666772,7.151052737,6.790633867,no data,no data
