"Private debt, loans and debt securities (Percent of GDP)",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Iran,no data,no data,no data,no data,no data,2.713039672,1.973143297,2.852506721,4.316931446,6.137331959,no data,15.54355239,14.19545231,16.24648911,18.00120047,17.43455337,18.76156241,19.45583528,20.66283102,21.05534671,22.83320345,21.47043764,22.26648454,21.59433291,16.77410262,22.82363365,23.65219433,23.41944934,no data,28.38743679,32.0136309,28.36035253,22.72774207,21.69063768,20.14481343,21.31940973,25.24778527,23.84801515,23.67480608,24.88875031,24.77966994,23.96326982,24.70948698,22.64418566,21.68407517,18.01255854,16.30937201,17.03936392,18.77688377,18.73384162,26.13813281,30.1295801,30.55230655,34.29681291,38.87087611,41.96833472,47.24375225,48.57502701,45.43446755,48.45848263,50.63473499,50.44580538,51.13751154,46.03327148,50.10629901,56.68797446,60.52753052,60.84869251,56.06048766,52.94700734,52.39062278,48.42104115,43.6756797,no data
Iraq,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.121359642,1.230600567,1.652807998,2.030836853,2.256843998,3.579857745,5.290537811,5.233973995,5.913914194,6.351045291,6.760119287,9.228156958,9.585908885,8.699207522,7.390654956,7.533537112,11.95496432,9.898902121,8.354536058,12.0447335
Ireland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,79.85224491,75.12568413,78.19686938,84.56530735,81.20041198,75.34488622,72.01855216,77.00265848,77.04187336,80.56532967,82.29984636,77.69419721,80.11071899,78.64369721,78.37395082,76.89193761,78.62132729,77.20312682,72.90785445,78.23967872,84.52378566,87.93976861,90.92137987,88.88525056,88.38770334,87.71364516,97.01873199,106.3557584,128.1514371,128.3236248,134.5289092,132.5769497,141.4193176,159.1044356,176.6661186,213.828441,227.1142234,283.0860249,303.125295,309.9512679,312.0013842,310.643097,290.1437282,291.5605595,311.497593,296.4899387,258.5876625,258.5353544,230.1703444,211.8205889,185.3727708,167.8169679,164.171726
Israel,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,74.35674802,81.37453384,85.41502071,87.98143779,90.31279667,94.68119169,102.1589312,106.5124625,106.6544142,115.2022124,119.8104851,116.2326877,115.9083673,121.0216496,121.2405299,125.9758984,120.0925949,121.0518539,120.6915329,118.048574,115.6371017,111.72128,109.7803771,108.8570346,109.9018149,109.3816676,109.6191421,108.9331245,112.4425175,114.1181121,112.7613237,110.6054139
Italy,23.33490401,24.2838133,28.52582506,30.99945942,34.28488584,36.43321473,39.15108837,40.68879295,41.95498977,45.33815567,47.38344301,51.15684493,55.62728134,59.17888763,58.70687908,60.14191568,62.58338713,64.80454856,66.93365889,68.78237804,68.59154892,72.40947112,75.74420911,72.9868397,68.55026085,69.67043409,63.17564573,59.55831745,53.97963888,51.4127662,49.34034904,48.9219073,46.94124011,45.60793276,48.91075103,48.97175693,48.95732365,49.84649481,51.96581049,55.1356403,58.77532625,60.87397733,64.28262763,64.70261567,61.79557674,69.97104963,68.2034096,67.7659705,68.1056533,75.48364039,79.40740096,82.78217703,85.27014837,89.41208609,93.31166225,99.0835786,105.2532837,112.9638769,116.4749444,124.9935331,125.6213232,124.7199557,126.8822963,124.9462099,123.1110122,118.9053103,115.0109064,112.2555487,110.4021642,109.3534129,122.196853,114.9089374,108.2401268,100.9269316
Jamaica,no data,no data,no data,29.83697617,23.89001715,25.08472114,21.71850677,26.88228028,32.88509574,37.89454066,39.73091873,41.13993919,37.70867316,34.42275251,40.97937287,45.95878151,46.87192889,47.05508922,50.3075946,64.85337382,61.30190196,65.79493061,72.93616632,79.73666044,80.66039017,77.53395442,74.07542327,60.44817186,55.67025204,59.81450172,61.0256687,75.56838686,90.30109777,93.58194594,83.16419191,74.18379985,79.1227001,96.04171187,107.5707263,120.9366975,87.56246451,78.28086704,53.40023776,58.91299626,55.30244871,60.25753723,55.82714324,49.87536585,57.38784544,57.30670308,64.13681917,35.14402298,41.0536952,49.80005289,58.3515214,52.19498617,63.55238483,70.93999498,70.0299856,58.28651944,59.75369803,61.94798308,72.84969136,89.14611463,94.44674407,97.37263811,96.50442029,91.28579746,87.04143918,93.62381905,97.21192032,83.01607003,69.61044291,no data
Japan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,109.7508027,116.8430767,117.4509033,118.163367,115.9180407,117.6375012,117.7670861,130.7790185,139.4300886,137.7652014,131.6580282,136.3275849,137.426631,136.0072236,135.0909451,137.3936736,139.8920633,143.3695731,149.1502979,155.680598,159.3792662,161.9966551,168.2729216,183.5616336,190.0049405,200.9223204,207.5258999,206.1943296,208.5791988,213.5482454,214.2108432,212.4835127,208.5345488,206.2989966,199.2818977,196.4657709,187.6200791,182.8709617,179.0844318,171.1104117,163.9731062,162.5276142,161.1122406,158.76986,163.8239124,170.3215188,162.7725997,163.0558308,161.0502911,159.5667864,157.8076105,153.8360515,155.4614867,156.0539386,159.4063454,164.3289995,183.2491057,183.6203075,185.528863,180.3068677
Jordan,no data,no data,no data,no data,12.61560982,17.7718415,14.27252206,17.24757411,15.26749437,17.5780438,18.67820046,19.83514998,20.29711143,25.16059427,22.53379091,21.71817214,23.40333139,19.88869769,20.24123805,19.89630661,20.98667898,20.27047453,19.39543591,22.84426023,27.3090643,31.18089799,35.36453439,32.19024913,42.18598593,50.18549757,51.6346666,52.87493778,56.73168311,61.73887308,65.91495445,67.25147612,64.0133058,65.55569434,69.07718656,71.65277815,69.02145865,69.11400227,61.27237652,66.62579999,70.49453765,75.53178388,75.93138567,76.13545282,73.80968848,75.74058286,75.75935247,78.83766613,74.15396285,72.14356782,75.53831941,88.46816772,91.44243125,92.63708091,82.83783599,84.0594792,80.76797301,80.37629728,79.10554999,80.0749791,76.79399727,75.83968024,83.22071343,77.5,78.5,78.4,83,84,88.1,82.6
Kazakhstan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.745894445,5.320119998,5.482694069,6.751697657,10.77188177,11.64738777,17.15198592,20.82310238,25.66018186,30.62336836,40.77988718,55.56699635,66.1841237,62.6827584,64.63078366,53.46191935,44.44140603,45.38887772,43.88742759,43.69557263,49.67250178,52.08368474,46.78975799,41.19972511,37.92941811,39.97415918,37.36561406,31.68979451,no data
Kenya,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.427605718,6.154126401,6.778365096,7.208961201,6.914974613,6.40802848,7.630093167,6.782888103,6.853123707,8.165476353,9.423174959,8.572632496,9.373637375,9.458640429,8.572741827,8.737389916,9.255420294,11.44606335,11.32535258,11.78335175,11.3658724,10.77766306,10.24375898,10.04492939,10.18482366,10.10725494,9.680961477,10.05566644,10.20262342,9.881906982,10.62343315,12.07335591,10.15236836,11.30026529,14.58025445,14.34675971,16.16882699,16.26783593,18.3217213,17.8763351,17.41343581,17.75734789,17.02068454,18.79515513,18.34234819,19.61613391,19.83784669,21.77489257,21.54829134,23.53105708,26.60311044,25.79013272,27.78274594,33.78289882,36.02218956,34.7370994,32.39339927,30.64212839,30.17358724,31.37817325,30.33498234,30.39620708,30.791225
"Korea, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.82629235,23.27867047,19.15183981,23.13717694,25.66780063,35.51873869,43.4212055,52.74711086,53.16537824,56.53166582,55.96230127,57.22887674,59.27362188,52.58750137,49.74781269,50.37262255,54.45713255,60.39912607,74.93958668,80.53686579,90.32290749,92.36901005,96.18655724,102.9176084,100.9888834,96.70329566,92.10647944,104.4070746,111.8191735,117.7475071,121.7934721,126.3045044,130.4316397,131.6941448,140.5197103,154.7464867,153.7465337,139.6386441,133.3803013,134.6894139,141.0487587,138.0297877,129.6925026,131.6909219,142.2066594,147.9032977,161.5207874,166.6088746,161.7547139,165.703111,167.8142928,168.35706,171.3435181,172.2692294,172.5710348,172.6398498,177.2069113,185.0776855,200.6311834,205.6005613,209.869409,207.4091032
Kuwait,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.056080291,9.297976539,9.055387084,10.98728426,11.17976719,12.28268612,15.64151662,15.11892252,14.79607386,11.76982889,13.29792355,17.103048,10.21588212,15.91174954,26.60813907,33.37954643,40.08167242,33.80595299,37.53891358,57.62592601,79.90963611,79.48599842,80.20260073,81.3069662,103.5804027,91.92897182,100.5932893,81.61857863,no data,29.58768685,19.62535491,19.002904,25.55524048,33.24738554,34.63776361,47.41043426,63.89453639,55.9858427,48.14992259,58.01868194,58.80734504,62.01231088,58.97366606,53.75877219,56.09892646,69.73093282,66.41102405,81.35847494,75.04404523,59.85713002,53.44748449,60.41988005,67.13062251,98.78385503,104.3565498,103.8476469,94.9066279,96.54765921,12.32000475,7.813101789,6.417484779,no data
Kyrgyz Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.53916049,8.659318869,3.413055593,5.27699275,5.022240686,4.098745523,3.762690622,4.110888042,4.724510757,7.030383262,7.875606348,10.47709088,6.073687747,13.54153263,12.56521373,12.06338452,11.1205562,13.1203983,15.39837226,19.77915491,22.37740259,20.19410351,21.01272074,23.00257199,22.85251368,26.16799918,23.71371344,20.39500677,21.29634132
Lao P.D.R.,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.16357499,0.340856947,1.447459328,2.16476886,3.308571944,4.154468375,4.175785844,4.10927587,5.622334395,10.47334575,7.34565104,7.606131137,8.124490503,6.74937344,5.57676374,5.445800524,6.210071101,5.012619141,5.813092319,8.765772397,15.63181668,19.86313353,24.61404511,29.32684837,34.76312283,34.12520935,37.07920906,41.01811662,43.02800164,41.46410346,42.03057429,43.12146687,44.23940505,53.97555694,53.79374103
Latvia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.09557117,18.81592024,25.22246022,33.08585576,38.02231555,47.43401124,47.78498084,51.80598411,63.71847035,70.13782439,85.85682738,105.8664053,109.8889172,113.8335933,138.2736293,138.9320389,131.6697533,110.3699066,103.3099912,96.00944085,85.98360462,87.31117037,84.11145859,77.74008645,76.54826219,75.45468497,67.06361832,60.69110292,no data
Lebanon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,65.01011092,70.33104039,68.05323753,67.26389218,53.44445829,52.60462985,49.63530324,55.75809632,58.01578632,74.61580774,79.64348952,113.8127637,217.1643709,118.5522975,142.8672919,146.7759813,145.0264722,159.1778469,256.4841749,254.6634215,192.9025584,122.1622182,147.6824134,89.88291722,68.39789196,81.69287029,98.55801736,59.91416403,63.51921935,56.45281617,64.0068007,71.89796774,74.65556862,76.17365264,81.39039644,91.01913712,95.04463572,92.30097415,88.58671672,88.76704568,84.12737319,75.03403277,77.2685849,82.93085339,78.78224594,74.39842968,84.18649619,90.56058897,91.58980611,92.97764271,99.54660872,100.9246194,105.0131073,107.1880708,105.9808168,94.07499891,65.65776415,30.3843703,18.31961808,no data
Lesotho,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.127082186,3.525900877,2.603687252,2.906857409,4.28514353,5.034876023,7.06299796,7.116933855,10.97599912,13.13582586,11.39770002,13.72129777,14.56952002,12.58158008,13.68650634,14.18017834,14.18415725,14.64286348,15.32584717,15.02342328,17.36221762,21.14697909,17.48410061,15.62061692,20.5451369,15.67812094,14.16132376,13.04229084,11.83602247,12.11619891,5.03449131,4.969772411,6.813635754,7.24615008,9.268346991,9.818867285,12.09476144,12.78314593,13.87441229,17.81516071,18.96644817,18.47114518,17.89501607,18.00875523,19.18695542,19.73980905,21.12403093,21.34873697,21.78035404,21.40862095,23.04460896
Liberia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.629215115,0.293244145,0.305360806,0.354171829,0.397637403,0.387810609,0.224611106,0.234053744,0.188218039,0.188325375,0.194443196,0.198034012,0.192321691,0.201292314,0.156348346,0.340667608,no data,0.666042626,1.588448933,1.947354547,3.879707546,2.849718541,1.015939477,0.687779456,7.862825761,4.999545038,1.991835527,2.029503293,2.054917497,2.558169373,3.352115762,3.809670052,4.744132338,5.259374881,6.126649856,7.946963176,9.36698516,10.37426364,10.04677562,11.82077415,11.44044818,12.74494943,13.0206646,16.75235379,16.97640791,14.30787157,13.41860525,12.89969506,14.78743041,no data
Lithuania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,24.15993173,27.85977823,21.40358678,22.00741962,24.26963223,26.44173523,30.77891622,31.50177381,30.56217818,31.68520238,36.15007961,42.22621837,51.904973,64.67055665,83.08268086,84.51670901,86.73666995,78.47338921,68.59306268,65.37502323,62.24833411,58.32845372,59.94461801,63.17508707,64.40590518,65.27210289,64.78649269,62.68757705,62.91573258,61.87587697,no data
Luxembourg,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,112.7502005,114.1618243,164.7559446,133.20733,134.5600279,129.5478572,171.0601803,181.3434835,237.0125785,217.3902247,207.9786004,214.9020778,334.4517678,317.7537391,363.1535414,330.9411901,346.6972299,359.6009139,363.3367553,381.9946593,388.4434594,376.4848839,371.7989713,381.4677684,393.9389571,408.7591806,414.3887298,385.4665808,385.2983935
Madagascar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.374238171,9.113730496,9.468579779,8.645050118,9.177366278,10.14651864,10.00954119,9.813923932,10.83429643,11.33383591,11.22226185,10.82640141,10.2551031,9.555851897,10.03426297,11.59483101,11.74364188,12.69563594,14.1122154,13.29303914,12.43697228,12.17594064,13.4508701,14.39711394,14.44066625,14.53597856,11.68738788,11.43330981,12.89145683,14.25822378,13.26409384,13.65162154,12.38951468,9.469857844,7.85652529,8.283184098,7.56390698,7.207537902,7.352042504,6.979457169,6.658481085,7.538672416,8.607274485,8.495638304,8.694835334,8.750117791,9.804110316,10.23871831,10.22718461,9.430438845,9.437290572,10.18554331,10.97548406,11.46893173,11.05506693,12.6306039,12.92502648,14.04696957,16.33190763,17.53427587,18.75416697,16.99803026
Malawi,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.271967441,2.243819477,2.499749203,2.859198432,3.349092965,3.714743971,3.988362472,3.896450001,3.376796701,4.08176218,3.797522363,4.676434843,4.939077982,6.26002939,8.40677506,7.498897706,7.088832445,7.202101246,7.259119583,5.477912506,4.477914926,4.404000008,3.273028571,3.122726601,3.736864079,4.486921566,4.362924393,5.586158749,3.436415744,4.602879937,2.402114402,1.65010273,1.499451386,2.619394709,1.94443576,2.295148665,2.139645872,1.950914856,2.227989804,2.612730423,2.871235799,3.623928886,3.890770076,6.47263007,7.723565068,9.822172813,9.895160322,10.35103885,8.844489848,8.099173758,8.667008829,7.354107946,7.293126989,6.671717052,7.094879238,7.627617206,7.986283,8.383365202,7.968612343
Malaysia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.16906301,13.89650062,14.36906905,14.43897559,16.11345352,19.05887687,21.76610396,23.23305036,24.26754924,29.66446556,28.94187077,32.46869231,35.74246224,38.30650029,44.30011545,47.74494601,57.72828788,66.84618236,72.3554568,81.60328163,85.8179059,105.1366177,119.1040465,107.6624451,105.1167746,111.9732156,122.2673559,129.2597576,129.2495369,128.2905787,132.2408658,151.986166,173.9686916,198.2262132,196.8154559,179.0064474,159.7189877,168.08253,164.9907635,156.7572545,150.5365077,149.3500723,142.2636378,136.1313513,133.1916477,152.2253873,148.3453446,150.7585827,153.5261698,159.1553454,157.2532437,165.6881696,166.2316546,161.8849968,163.9949992,164.1586977,181.6950419,174.6444442,154.2460466,159.1643334
Maldives,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.791205165,6.034788177,4.201718262,4.095328274,3.454541359,9.160294197,15.54756072,18.82675059,23.30604259,19.18507433,15.97406985,13.03718238,10.07945249,10.6617891,11.47489259,9.130252735,7.873032114,10.41554892,11.35713739,11.84303504,11.46167314,12.86869694,15.22383376,14.50738023,14.78781533,18.44349067,19.66739881,16.54894376,22.45114983,37.80756158,41.49905694,52.15391686,55.55945743,51.44050308,45.69285612,39.5782247,32.59086412,28.79447599,26.3720644,26.44655835,27.34337411,27.82778426,27.58627284,28.01448746,47.33950954,34.65932851,30.77532921,31.50147281
Mali,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.329210028,3.659576755,4.819851078,1.542678595,1.527185049,1.479739844,0.514930246,0.546877267,7.245949785,9.583367201,8.878554564,9.065278894,11.15401491,10.41675342,15.04732564,21.48402315,23.65238539,16.69956396,19.34448537,18.83160242,19.12539428,19.39334688,19.71695579,18.82530737,11.36152695,12.9991259,14.51401398,13.74536503,10.1863502,10.93818252,9.595425139,9.347888994,10.32367226,9.87157259,6.057980932,7.901736442,9.876782417,10.55384198,12.82038273,13.542758,13.49768263,13.48324717,14.64622514,14.85712426,16.86609297,14.6818997,15.32156318,16.10946266,11.77818226,16.27808644,17.86766515,18.25997868,19.41135576,20.78244141,21.95325043,24.88256107,26.31227965,25.85396224,25.53212791,24.41026028,25.67260298,27.54308401,30.45689727,28.42665841
Malta,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.51493537,15.67706815,16.81879112,18.75880648,22.40963023,23.73107866,29.49895072,36.32088489,42.82759832,63.50140304,68.63653544,72.90007926,73.86221065,62.29476554,59.41537238,46.35109357,40.12023844,35.26154911,32.91673452,34.10489834,39.10712695,42.42018602,51.04771037,60.36501556,67.40434753,74.67620086,78.06119407,80.87922357,85.13975765,92.23097735,104.4203106,112.5778829,115.493696,122.8164421,125.7835471,127.0812378,134.8949424,136.1926739,141.6202182,143.7576737,134.8285768,142.154263,145.006265,153.7831053,150.7307965,159.7033524,158.9282849,180.2210844,195.8742969,217.9437041,218.4569861,230.8783846,225.5005798,212.8167898,206.4528323,199.8877631,201.1027281,197.9282705,202.4888945,222.6616921,235.9291601,207.6065909,181.1207222,no data
Mauritania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.230550846,2.324365198,2.282706492,2.443254566,2.181059872,3.741213408,5.24926209,6.629257665,9.036972324,8.629332437,9.37404502,12.99835639,11.43944503,19.00485152,18.80278817,22.15648959,23.8409034,20.34377196,20.95209638,21.09596324,22.22630774,21.71596921,21.86580359,21.39243544,19.78595889,19.34648027,19.58664662,19.35570051,24.47739247,18.55997492,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,18.40148131,14.61742261,16.29917868,19.20839421,19.97772334,18.27540307,16.59344738,16.76638119,18.34583983,19.52029977,21.11557839,20.29890976,21.06657412,22.04112089,22.72354116,no data,no data,no data,no data
Mauritius,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,65.44462808,73.11240259,75.19568086,80.12179637,86.24524856,90.16540997,92.33819132,87.73840831,90.43730459,84.39516855,84.21268857,76.20813445,80.45120529,100.316669,86.38690179,75.87764798,no data
Mexico,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,36.3430176,37.92713997,32.02388332,25.53129826,28.58351462,33.55552686,37.27727624,35.83152804,21.18228534,26.72719287,27.80516493,35.12546833,41.9234716,42.66560292,47.16749111,46.90663778,38.61353574,33.04367595,30.24635032,25.67788321,23.9314634,22.61334747,23.45328006,23.71822916,22.84371714,22.9761514,24.42067201,26.94670472,28.59600293,28.85404325,28.53496086,30.59899386,30.58074942,33.70437112,35.20831409,38.35948208,41.46764716,41.40377591,40.65252509,40.03938106,42.8085717,40.36356474,38.76305331,37.1554364
"Micronesia, Fed. States of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,29.81494066,27.77285236,28.4392395,30.3056613,32.57337402,31.18020335,29.57302634,21.27375452,16.62088528,18.33079163,20.11589426,21.08828328,21.39507625,20.25377372,21.51939145,21.03538413,19.78459047,19.59929897,19.9284814,21.52333888,23.29490982,23.12056429,23.25324967,20.33621653,22.89318298,24.22086959,23.52607093,no data,no data
Moldova,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.817327237,5.828260531,4.979409431,3.674130036,6.663622931,7.673323621,6.890569269,13.81564055,11.74351389,12.33864071,14.65807131,17.08665217,20.22617613,21.13862743,23.36430349,27.22968354,36.62604224,36.2105518,35.67775655,27.674478,27.65064122,31.7801107,33.39942409,28.30874129,26.3501226,21.95629379,19.53448152,19.14174377,19.90230395,23.03361268,23.16605088,22.00277037,20.76681689
Mongolia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.00639462,13.23478525,6.52364846,10.79746405,8.053636887,8.196181379,4.801235558,9.000156588,5.283075442,5.634582661,8.929427086,15.27683513,27.9874991,29.40087534,31.0490893,33.18766413,46.0372865,45.01850684,46.48548907,39.49832503,53.10676996,49.18033862,62.91791135,63.39968707,62.33098356,85.39579764,79.94846315,81.4030737,78.34881782,77.81260468,76.44440022,66.1796922,no data
Morocco,no data,no data,no data,no data,no data,no data,no data,no data,9.966993977,9.233455448,9.137461503,11.29375508,11.20293296,10.70654942,9.949600087,9.566020196,9.99613604,10.03149976,10.90524878,10.45080489,9.943229803,10.4009925,11.24967583,12.66473027,12.55922596,13.96990783,14.57899832,14.66176538,14.31927805,14.13093662,13.39269266,14.86170966,15.73820615,16.9143495,17.11129256,15.90958319,no data,no data,no data,no data,14.40180614,18.12939664,20.65564145,22.25639148,22.57818308,25.77911073,23.52303538,41.35796246,43.14672974,46.55048407,48.08035055,46.80764734,45.62336045,43.33170966,42.29826019,44.79928335,45.93059206,54.32848514,58.95736611,61.49697352,64.99408353,68.24944582,69.19875918,66.67151268,67.12984937,64.23849469,65.50432475,64.66649837,63.36698819,63.98818512,71.65196243,66.52834803,68.90887948,no data
Mozambique,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.203732607,3.829448648,2.797873217,10.32330043,11.74285645,8.399557984,8.317917827,8.297431766,7.301279855,8.781830705,9.476747158,10.28902396,11.75264772,8.74837075,8.818967295,7.767491257,6.592418515,8.579516506,9.590824392,9.82833324,13.69986584,19.2826716,21.19963178,20.41730821,21.90573389,25.7762412,29.65148025,31.37846323,30.62283392,23.73118528,21.18363977,20.33235008,22.80917867,21.84177526,19.4660857,17.41231714
Myanmar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.168245335,6.961713174,7.151627407,4.588050319,3.114016279,1.901475191,2.28955209,1.91955081,1.945519047,2.221993804,4.773487246,4.625172723,5.802120112,5.554761647,3.477784263,3.987052461,6.016039405,7.289932643,9.041686923,6.979278714,6.717560546,7.274639747,6.565817317,6.527436055,5.61634189,6.168571903,6.051555237,5.313301994,3.581276413,3.029318352,5.465986744,7.437216335,8.163899338,7.183407924,6.754718314,8.432136769,10.23258751,10.91245617,10.55432542,8.611004983,9.450267595,11.80544009,11.72928656,4.349087306,4.733143582,4.951500398,4.135118338,3.664319211,3.309721034,3.757704786,5.392217824,7.754039459,10.29897571,13.81069928,16.37027868,18.96421815,23.48862899,26.24543411,27.78647417,27.98645644,27.8927667,no data,no data,no data
Nepal,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.887966807,0.880822677,0.934605706,0.858271365,1.027963929,1.330152501,1.18383554,1.295187345,1.666770102,1.813660553,2.028497567,2.897246634,2.781943236,3.229881443,3.339284767,3.612879767,3.087511887,3.596038976,4.302253366,4.812408711,6.445516942,6.905215766,6.760145859,5.904004399,6.039236129,6.77112083,7.457400547,7.383280496,8.416950488,9.326175427,9.073142373,9.424972902,9.523679535,10.37735017,13.3122713,16.42923808,16.61583156,16.99861427,20.52557282,20.69779669,22.03067872,22.71559478,19.71676338,22.61444251,23.26444079,24.72490959,28.57774046,32.22140458,44.84468141,51.48132475,47.48153988,45.96092143,48.30907409,50.10692152,54.13192224,56.59151782,69.53267638,68.88714954,75.94562223,78.61090713,88.10863687,103.2653573,94.08601657,91.3722179
