"Private debt, all instruments (Percent of GDP)",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Netherlands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,260.3447544,261.8974805,257.3394471,256.9107915,269.9695104,273.8833811,268.9113163,266.7698016,280.7555239,279.8146256,289.2410716,281.2787261,276.5029104,277.6822934,332.3684131,350.019595,362.9690265,372.7412219,376.2148664,381.233579,380.3542747,383.6582775,378.3792207,367.2584986,350.5660023,367.683655,353.8791991,333.2280493,306.580748
Norway,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,200.2145069,196.4599454,209.2855766,223.4587942,242.9385281,228.1886541,225.2384457,235.0507785,232.9323918,229.5641855,228.5578442,229.6129845,248.6500572,260.5976531,274.3446767,275.5084056,265.0382269,269.638525,265.3426247,271.5104512,292.4011791,301.3441762,287.0694688,277.0352899,291.7489775,323.4176639,286.8587142,247.0236192,278.5192864
Poland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,52.91780041,60.75298448,68.61707415,77.01393877,84.85771374,92.89079859,101.9671344,106.5497648,88.70237116,82.10888214,82.02009752,87.12115616,95.60313736,107.5261666,107.9751127,113.008981,116.8655586,114.3251539,118.7207001,121.3734503,122.4867952,127.521409,121.5118666,121.1663355,118.9360172,120.7157156,114.5885909,106.6032817,101.2293789
Portugal,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,149.0506309,156.781761,162.0772513,174.2625551,188.6926615,201.5962683,213.6391651,226.2319805,237.2135132,252.4788109,255.303366,263.27209,275.57716,285.8404056,297.6297997,297.7873101,308.6462513,319.5336539,305.7516029,294.1218246,277.1808248,264.6589465,255.6649116,244.6262383,241.7376911,263.1656368,255.3034691,237.7705043,214.4814349
Romania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,364.8566865,265.3510421,138.8349561,125.1891677,122.7596941,115.0221767,91.54588837,113.473631,106.967782,107.2993682,109.1790161,186.5288103,195.8396593,193.1391578,202.2468122,154.0753416,149.8223869,150.3177289,154.9513151,151.250216,142.5843976,142.2811682,136.531952,126.1580888,117.2995238,120.3412511,125.8798116,118.5746212,99.15588097
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,130.5044494,142.9936824,167.5782178,197.7664417,205.2088934,202.4415716,200.355468,191.8911331,190.5205022,214.0668771,no data,no data,no data
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,139.9458007,138.3107095,136.8124606,136.8943619,129.3463862,117.1276681,114.3639289,117.046328,107.4731566,99.63858816,93.99224929,94.30109082,97.99440023,97.67164695,101.3053604,97.95264451,104.5308264,108.6359336,116.7952084,124.3796444,123.3159233,134.557524,132.236142,137.2410456,134.0145198,139.6924064,141.3217244,142.6296347,127.9060651
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,103.7631407,95.25262437,94.83507573,97.07671179,104.9774336,110.8910468,113.4513984,114.9420348,117.5348652,117.3411522,133.0498829,138.8331459,160.392021,170.96293,180.9753198,178.2068636,173.4507452,176.0218848,162.2582981,147.3723468,135.637075,129.2998311,125.2419326,121.2650454,116.0902474,118.4200673,117.4239657,117.3878205,105.7228011
Spain,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,128.9332745,129.9033022,133.3245981,144.7144228,162.6766928,177.2560144,187.1896747,191.9908662,202.7132754,217.9213287,238.3176996,262.6997063,275.7422687,271.4732226,274.7678916,268.6662427,263.9400575,254.9521026,251.5434085,239.7191777,223.5378691,216.1249618,207.5230935,200.3644385,195.4726372,217.7960953,205.2642953,184.8714609,165.4651464
Sweden,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,182.2822665,182.0194697,193.3437871,200.4908653,206.9422022,219.0317892,229.8518618,218.061906,203.3299685,199.8659654,211.985604,185.5870793,204.4605783,229.8515311,241.5202376,230.1802126,232.7607414,235.0667016,248.3282682,241.0032923,250.0559306,250.2570874,259.2444314,256.8559757,264.6578599,279.3838016,283.9321576,288.1920093,no data
